,x,y,T,U-val,alternative,p-val,RBC,CLES,cohen,power
44,CE_probable,MORT_IMPLICITE,,496.0,two-sided,3.895200217594394e-06,0.6280464941882264,0.18597675290588678,-0.9626533853685635,0.9821137866762041
4,CE_probable,noun_ratio_score,,2017.0,two-sided,0.00017455664073747908,-0.5125609298837646,0.7562804649418823,0.9734351667621537,0.984022310471318
27,CE_probable,feel_positive,,1964.0,two-sided,0.0005361856216378252,-0.47281589801274837,0.7364079490063742,1.0652645818018642,0.9943322602498491
19,CE_probable,textblob_polarity,,1951.0,two-sided,0.000697505591451429,-0.46306711661042366,0.7315335583052118,0.9441656979992936,0.9783884444663535
10,CE_probable,degree_average,,724.0,two-sided,0.0008181037822832648,0.4570678665166854,0.2714660667416573,-0.8091398607898697,0.9267739002121784
45,CE_probable,model_DEATH,,726.0,two-sided,0.0008434511490039402,0.45556805399325084,0.2722159730033746,-0.6604423582375388,0.7953567415091339
5,CE_probable,token_ratio_score,,1934.0,two-sided,0.0009767521483062841,-0.4503187101612298,0.7251593550806149,0.8858453488160131,0.9621027513303775
28,CE_probable,polarimot_neutre,,1929.0,two-sided,0.0010767581274204864,-0.44656917885264336,0.7232845894263217,0.9511963503936903,0.9798759624816972
32,CE_probable,gobin_PCjoie,,1927.0,two-sided,0.0011193492528537882,-0.4450693663292089,0.7225346831646045,0.9231354048138053,0.9733738161194542
18,CE_probable,labMT,,1921.0,two-sided,0.0012566464959158862,-0.4405699287589051,0.7202849643794526,0.929521102444451,0.974990149617827
8,CE_probable,number_of_edges,,748.0,two-sided,0.00130572151477651,0.43907011623547054,0.28046494188226473,-0.6861029314679508,0.8246817756594843
3,CE_probable,words_number,,748.0,two-sided,0.00130572151477651,0.43907011623547054,0.28046494188226473,-0.6861029314679508,0.8246817756594843
11,CE_probable,degree_std,,748.0,two-sided,0.0013057621101329722,0.43907011623547054,0.28046494188226473,-0.7336085766612884,0.8715351297104709
47,CE_probable,model_PHYSICAL_SENSATIONS,,752.0,two-sided,0.0014090466336192835,0.4360704911886014,0.2819647544056993,-0.6283495497351398,0.754846723721598
9,CE_probable,PE,,752.0,two-sided,0.0014092340746027353,0.4360704911886014,0.2819647544056993,-0.7049879637527561,0.8444675542898521
23,CE_probable,feel_surprise,,1913.0,two-sided,0.0014639370457125934,-0.43457067866516685,0.7172853393325834,0.8283096933849918,0.9373636243154198
31,CE_probable,gobin_Arousal,,1909.0,two-sided,0.0015790021670928367,-0.43157105361829773,0.7157855268091489,0.9259986832351993,0.974109044948496
38,CE_probable,gobin_PCpos,,1906.0,two-sided,0.0016707032405928318,-0.42932133483314594,0.714660667416573,0.8895135006778878,0.9633609071540387
39,CE_probable,gobin_PCneg,,1885.0,two-sided,0.0024628199501803404,-0.41357330333708275,0.7067866516685414,0.8775165509293436,0.9591149041906668
6,CE_probable,adverb_ratio_score,,1884.0,two-sided,0.002507931470916194,-0.41282339707536564,0.7064116985376828,0.7519110519109883,0.8870246486822778
16,CE_probable,liwc_émopos,,1880.0,two-sided,0.0026962853179984913,-0.4098237720284965,0.7049118860142483,0.6377363637649406,0.7671225355613883
41,CE_probable,verb_indicatif_future,,801.5,two-sided,0.002824880815851769,0.3989501312335958,0.3005249343832021,-0.6374207539795924,0.7667154145461252
30,CE_probable,polarimot_positive,,1877.0,two-sided,0.00284589888763182,-0.4075740532433445,0.7037870266216723,0.7961639057277887,0.9188624945356711
7,CE_probable,number_of_nodes,,794.0,two-sided,0.0030569036363986357,0.4045744281964755,0.29771278590176226,-0.7029703110719141,0.842426837408835
34,CE_probable,gobin_PCcolère,,1873.0,two-sided,0.0030571757939686773,-0.4045744281964754,0.7022872140982377,0.9593591368998714,0.9814931948274175
29,CE_probable,polarimot_negative,,1869.0,two-sided,0.003282665150848292,-0.40157480314960625,0.7007874015748031,0.6576129447398606,0.7919536857555296
21,CE_probable,feel_fear,,1863.0,two-sided,0.0036493958144837176,-0.3970753655793027,0.6985376827896513,0.6901723196440008,0.8290747669562355
33,CE_probable,gobin_PCsurprise,,1862.0,two-sided,0.003714019351597147,-0.39632545931758534,0.6981627296587927,0.7456224078741855,0.8818603052132216
2,CE_probable,sentences_number,,821.0,two-sided,0.004898536746138045,0.3843269591301087,0.30783652043494564,-0.5995890164351901,0.7151677039674404
26,CE_probable,feel_joy,,1846.0,two-sided,0.004899647762898734,-0.38432695913010884,0.6921634795650544,0.8649930607126578,0.9542653587900563
36,CE_probable,gobin_PCpeur,,1845.0,two-sided,0.004984044143915269,-0.3835770528683915,0.6917885264341957,0.7271664036027116,0.8657475909992235
0,CE_probable,age,,1843.0,two-sided,0.005115732224831218,-0.3820772403449568,0.6910386201724784,0.757047692235823,0.8911217883654662
37,CE_probable,gobin_PCtristesse,,1831.0,two-sided,0.00631175727783272,-0.37307836520434945,0.6865391826021747,0.5412173711132505,0.6264312706764877
35,CE_probable,gobin_PCdégoût,,1821.0,two-sided,0.007446715777339293,-0.3655793025871765,0.6827896512935883,0.8490955089891267,0.9474548757581995
22,CE_probable,feel_anger,,1819.0,two-sided,0.007694547585505443,-0.3640794900637421,0.682039745031871,0.6978357484360843,0.8371545805045646
25,CE_probable,feel_disgust,,1809.0,two-sided,0.009048007214448163,-0.35658042744656915,0.6782902137232846,0.8489374493643019,0.9473833276961358
24,CE_probable,feel_sadness,,1802.0,two-sided,0.010118059035634208,-0.35133108361454823,0.6756655418072741,0.569606058643576,0.670797923390242
46,CE_probable,model_BODY,,867.5,two-sided,0.010525978579850102,0.349456317960255,0.3252718410198725,-0.6243458296714768,0.7495068166626476
40,CE_probable,score_generical_connector_matches,,1797.0,two-sided,0.01094994690167122,-0.34758155230596177,0.6737907761529809,0.6304622570474279,0.7576396506639423
17,CE_probable,liwc_émonég,,1766.0,two-sided,0.017599412816513782,-0.3243344581927259,0.6621672290963629,0.5069534031043149,0.5706193065406472
20,CE_probable,textblob_subjectivity,,1754.0,two-sided,0.020999294069406614,-0.3153355830521185,0.6576677915260593,0.47151772029974265,0.5113946290964766
15,CE_probable,average_shrotest_path_g0,,1751.0,two-sided,0.021933849092040818,-0.3130858642669667,0.6565429321334834,0.7753234113547354,0.9048311780331413
48,CE_probable,agentivity,,944.5,two-sided,0.03276923202870328,0.29171353580802395,0.354143232095988,-0.4844127668371546,0.5330440018274281
1,CE_probable,living_alone,,1643.5,two-sided,0.035942837130010875,-0.23247094113235844,0.6162354705661792,0.5008130408870558,0.560431583233138
43,CE_probable,passive_sents_count,,963.0,two-sided,0.04189272686189919,0.2778402699662542,0.3610798650168729,-0.4685418403967149,0.5063916099545566
42,CE_probable,passive_count_norm,,963.5,two-sided,0.0423067705577664,0.27746531683539555,0.3612673415823022,-0.4735785016007961,0.5148582524554007
14,CE_probable,average_clustering,,966.0,two-sided,0.04372161907332914,0.2755905511811023,0.36220472440944884,-0.5896167211464267,0.7007279720758788
